t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
44,36.824285714285715,37.07714285714285,36.50714285714285,36.770714285714284,37.693571428571424,36.697142857142865,36.771428571428565,36.89785714285715,36.41857142857143,37.021428571428565,36.932142857142864,36.88071428571429,37.40785714285715
45,36.827857142857134,37.08142857142857,36.50928571428572,36.792142857142856,37.709999999999994,36.705,36.79357142857142,36.88571428571428,36.459999999999994,37.082142857142856,36.95285714285715,36.93785714285714,37.46071428571429
46,36.84285714285715,37.08714285714286,36.49785714285714,36.79214285714285,37.74071428571428,36.730000000000004,36.86071428571428,36.93071428571428,36.495714285714286,37.14142857142857,36.982142857142854,37.00071428571429,37.519999999999996
47,36.848571428571425,37.10857142857143,36.46785714285714,36.77928571428571,37.767857142857146,36.745,36.89214285714286,36.987857142857145,36.53214285714285,37.21928571428571,37.040000000000006,37.06714285714286,37.585
48,36.84571428571429,37.105,36.472857142857144,36.796428571428564,37.67857142857142,36.776428571428575,36.924285714285716,37.02642857142858,36.58,37.291428571428575,37.08142857142857,37.112142857142864,37.63285714285714
49,36.868571428571435,37.15714285714285,36.48357142857143,36.81285714285714,37.67857142857144,36.84214285714285,36.94428571428572,37.06,36.61357142857143,37.32857142857143,37.12071428571428,37.18214285714286,37.674285714285716
50,36.89071428571428,37.24285714285714,36.48357142857142,36.82071428571429,37.81785714285714,36.87357142857144,36.98785714285714,37.113571428571426,36.61571428571428,37.35642857142857,37.18785714285714,37.225,37.70357142857143
51,36.895714285714284,37.259285714285724,36.52571428571429,36.83928571428572,37.90500000000001,36.924285714285716,36.99928571428571,37.17857142857143,36.652142857142856,37.39857142857143,37.20357142857142,37.25,37.71571428571429
52,36.92642857142857,37.27428571428572,36.582142857142856,36.89928571428572,37.91571428571429,37.00571428571429,37.017857142857146,37.20285714285715,36.74571428571428,37.452857142857134,37.250927585,37.269999999999996,37.70214285714286
53,36.96,37.29785714285715,36.62714285714286,36.98714285714285,37.895714285714284,37.10928571428571,37.05357142857144,37.230714285714285,36.82857142857143,37.50142857142857,37.17714285714286,37.300714285714285,37.69357142857143
54,37.0,37.32642857142857,36.685714285714276,37.11357142857143,37.86785714285714,37.19142857142857,37.095000000000006,37.24428571428571,36.86142857142857,37.54928571428571,37.172142857142866,37.323571428571434,37.67714285714286
55,37.02928571428571,37.33214285714286,36.74785714285714,37.25214285714286,37.879999999999995,37.26285714285715,37.122857142857136,37.24071428571428,36.93142857142857,37.612857142857145,37.197142857142865,37.38642857142857,37.68142857142857
56,37.03357142857143,37.32285714285715,36.80428571428571,37.335,37.94857142857143,37.29785714285714,37.17142857142857,37.24714285714286,37.02214285714285,37.652857142857144,37.212857142857146,37.425714285714285,37.68071428571428
57,37.021428571428565,37.334999999999994,36.82,37.36,37.855714285714285,37.332857142857144,37.22785714285715,37.22785714285715,37.07071428571428,37.662142857142854,37.4,37.471428571428575,37.69
58,37.01928571428572,37.339999999999996,36.857142857142854,37.39857142857142,37.83285714285715,37.40714285714285,37.26,37.26,37.08642857142858,37.682857142857145,37.40040869285714,37.49714285714286,37.708571428571425
59,37.02785714285714,37.34285714285715,36.91571428571429,37.41428571428571,37.81571428571429,37.44785714285714,37.31214285714285,37.28785714285714,37.06214285714286,37.715714285714284,37.417142857142856,37.528571428571425,37.70499999999999
60,37.045,37.39142857142857,36.95285714285715,37.39999999999999,37.79642857142857,37.47071428571429,37.35142857142858,37.327857142857134,37.010714285714286,37.728571428571435,37.33428571428571,37.605714285714285,37.70642857142857
61,37.066428571428574,37.44857142857143,36.96571428571429,37.440000000000005,37.92714285714285,37.51071428571429,37.35000000000001,37.357142857142854,36.95428571428572,37.74857142857143,37.295714285714276,37.66357142857142,37.71357142857143
62,37.075,37.43071428571428,36.986428571428576,37.49857142857143,37.948552795714285,37.55571428571428,37.333571428571425,37.37214285714286,36.91571428571428,37.790000000000006,37.30785714285714,37.71714285714285,37.699999999999996
63,37.07928571428572,37.412142857142854,37.029999999999994,37.60785714285714,37.84785714285714,37.580714285714286,37.33714285714286,37.35214285714286,36.88857142857143,37.82142857142857,37.307142857142864,37.784285714285716,37.69714285714286
64,37.114999999999995,37.44428571428572,37.050714285714285,37.646428571428565,37.91857142857143,37.60214285714285,37.35,37.35071428571428,36.88,37.807142857142864,37.26928571428572,37.80714285714286,37.70428571428572
65,37.181428571428576,37.52285714285715,37.040000000000006,37.65642857142858,37.916428571428575,37.63285714285714,37.36785714285714,37.404999999999994,36.895714285714284,37.80357142857143,37.230000000000004,37.847142857142856,37.702857142857134
66,37.26142857142857,37.56714285714286,37.047142857142845,37.63214285714287,37.878571428571426,37.68285714285714,37.36,37.43928571428571,36.89214285714286,37.82142857142857,37.26499999999999,37.89357142857143,37.71142857142858
67,37.309999999999995,37.605000000000004,37.1157142857143,37.58357142857143,37.86357142857143,37.720000000000006,37.35357142857142,37.45928571428572,36.945,37.85357142857142,37.25,37.935,37.73357142857143
68,37.324285714285715,37.62071428571428,37.167857142857144,37.59000000000001,37.815000000000005,37.737142857142864,37.36071428571428,37.465714285714284,37.01,37.87357142857143,37.295,37.96642857142858,37.76
69,37.35571428571428,37.620000000000005,37.17714285714285,37.576428571428565,37.75357142857143,37.75571428571429,37.385714285714286,37.432857142857145,37.05285714285715,37.87214285714286,37.297142857142866,37.964285714285715,37.80214285714286
70,37.41642857142857,37.619285714285716,37.18785714285713,37.55357142857143,37.80642857142857,37.76142857142857,37.410000000000004,37.43285714285714,37.065,37.864285714285714,37.34214285714285,37.97071428571429,37.817142857142855
71,37.471428571428575,37.58928571428572,37.24214285714286,37.61714285714286,37.76,37.79357142857143,37.455,37.4907142857143,37.055714285714295,37.87285714285714,37.345000000000006,38.01357142857143,37.81071428571429
72,37.501428571428576,37.60214285714285,37.300714285714285,37.69642857142857,37.70571428571429,37.798571428571435,37.506428571428565,37.513571428571424,37.061428571428564,37.917857142857144,37.33428571428572,38.055,37.81357142857143
73,37.521428571428565,37.60142857142857,37.33928571428571,37.68785714285714,37.73357142857143,37.795,37.559999999999995,37.535714285714285,37.05714285714286,37.942142857142855,37.39785714285714,38.06857142857143,37.81785714285714
