t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
147,36.0,28.0,38.0,14.0,51.0,47.0,20.0,39.0,91.0,76.0,56.0,84.0,24.0
148,43.0,62.0,37.0,62.0,79.0,0.0,44.0,72.0,98.0,47.0,37.0,59.0,79.0
149,37.0,98.0,46.0,59.0,70.0,48.0,58.0,69.0,86.0,98.0,61.0,22.0,10.0
150,9.0,76.0,47.0,74.0,74.0,77.0,42.0,74.0,86.0,95.0,47.0,77.0,31.0
151,32.0,49.0,26.0,48.0,57.0,30.0,58.0,84.0,62.0,70.0,61.0,13.0,54.0
152,44.0,46.0,9.0,74.0,40.0,34.0,45.0,59.0,49.0,0.0,5.0,47.0,40.0
153,30.0,36.0,38.0,45.0,91.0,82.0,45.0,73.0,58.0,0.0,0.0,75.0,55.0
154,26.0,33.0,44.0,40.0,114.3688469,39.0,52.0,68.0,95.0,21.0,0.0,46.0,34.0
155,15.0,30.0,9.0,58.0,114.3688469,40.0,56.0,41.0,77.0,52.0,4.0,9.0,35.0
156,22.0,17.0,59.0,61.0,81.0,78.0,38.0,55.0,80.0,11.0,18.0,0.0,36.0
157,32.0,35.0,43.0,51.0,30.0,77.0,31.0,37.0,74.0,100.0,63.0,17.0,36.0
158,15.0,86.0,44.0,53.0,86.0,77.0,43.0,37.0,100.0,81.0,30.0,23.0,0.0
159,50.0,84.0,39.0,50.0,105.0,36.0,63.0,71.0,81.0,66.0,83.0,31.0,9.0
160,44.0,6.0,73.0,72.0,91.0,14.0,47.0,71.0,83.0,8.0,47.0,17.0,11.0
161,31.0,0.0,31.0,55.0,99.0,88.0,18.0,60.0,54.0,15.0,55.0,63.0,17.0
162,36.0,14.0,9.0,60.0,86.0,72.0,57.0,69.0,82.0,8.0,43.0,34.0,47.0
163,23.0,91.0,37.0,60.0,14.0,66.0,35.0,61.0,77.0,32.0,44.0,4.0,24.0
164,22.0,90.0,60.0,43.0,23.0,82.0,12.0,73.0,26.0,110.0,56.0,17.0,36.0
165,14.0,85.0,51.0,32.0,100.0,31.0,44.0,81.0,8.0,78.0,61.0,48.0,59.0
166,51.0,61.0,63.0,41.0,70.0,47.0,49.0,29.0,3.0,92.0,54.0,54.0,52.0
167,0.0,90.0,48.0,35.0,50.0,14.0,38.0,70.0,84.0,77.0,74.0,60.0,78.0
168,0.0,79.0,65.0,0.0,76.0,1.0,28.0,31.0,76.0,86.0,98.0,40.0,5.0
169,0.0,73.0,18.0,5.0,76.0,49.0,31.0,72.0,74.0,99.0,9.0,37.0,42.0
